experiment simulation item wn word attachtime
GG-EXP1 1 SUBJECT-REL 1 "THE" 70 
GG-EXP1 1 SUBJECT-REL 2 "REPORTER" 44 
GG-EXP1 1 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 1 SUBJECT-REL 4 "SENT" 36 
GG-EXP1 1 SUBJECT-REL 5 "THE" 34 
GG-EXP1 1 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 1 SUBJECT-REL 7 "TO" 40 
GG-EXP1 1 SUBJECT-REL 8 "THE" 41 
GG-EXP1 1 SUBJECT-REL 9 "EDITOR" 44 
GG-EXP1 1 SUBJECT-REL 10 "HOPED" 109 
GG-EXP1 1 SUBJECT-REL 11 "FOR" 42 
GG-EXP1 1 SUBJECT-REL 12 "THE" 70 
GG-EXP1 1 SUBJECT-REL 13 "STORY" 49 
GG-EXP1 1 OBJECT-REL 1 "THE" 70 
GG-EXP1 1 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 1 OBJECT-REL 3 "WHO" 10 
GG-EXP1 1 OBJECT-REL 4 "THE" 113 
GG-EXP1 1 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 1 OBJECT-REL 6 "SENT" 111 
GG-EXP1 1 OBJECT-REL 7 "TO" 38 
GG-EXP1 1 OBJECT-REL 8 "THE" 38 
GG-EXP1 1 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 1 OBJECT-REL 10 "HOPED" 105 
GG-EXP1 1 OBJECT-REL 11 "FOR" 45 
GG-EXP1 2 SUBJECT-REL 1 "THE" 35 
GG-EXP1 2 SUBJECT-REL 2 "REPORTER" 39 
GG-EXP1 2 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 2 SUBJECT-REL 4 "SENT" 41 
GG-EXP1 2 SUBJECT-REL 5 "THE" 70 
GG-EXP1 2 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 2 SUBJECT-REL 7 "TO" 39 
GG-EXP1 2 SUBJECT-REL 8 "THE" 70 
GG-EXP1 2 SUBJECT-REL 9 "EDITOR" 32 
GG-EXP1 2 SUBJECT-REL 10 "HOPED" 79 
GG-EXP1 2 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 2 SUBJECT-REL 12 "THE" 48 
GG-EXP1 2 SUBJECT-REL 13 "STORY" 48 
GG-EXP1 2 OBJECT-REL 1 "THE" 70 
GG-EXP1 2 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 2 OBJECT-REL 3 "WHO" 10 
GG-EXP1 2 OBJECT-REL 4 "THE" 74 
GG-EXP1 2 OBJECT-REL 5 "PHOTOGRAPHER" 43 
GG-EXP1 2 OBJECT-REL 6 "SENT" 124 
GG-EXP1 2 OBJECT-REL 7 "TO" 70 
GG-EXP1 2 OBJECT-REL 8 "THE" 70 
GG-EXP1 2 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 2 OBJECT-REL 10 "HOPED" 81 
GG-EXP1 2 OBJECT-REL 11 "FOR" 70 
GG-EXP1 2 OBJECT-REL 12 "THE" 70 
GG-EXP1 2 OBJECT-REL 13 "STORY" 53 
GG-EXP1 3 SUBJECT-REL 1 "THE" 70 
GG-EXP1 3 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 3 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 3 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 3 SUBJECT-REL 5 "THE" 70 
GG-EXP1 3 SUBJECT-REL 6 "PHOTOGRAPHER" 50 
GG-EXP1 3 SUBJECT-REL 7 "TO" 70 
GG-EXP1 3 SUBJECT-REL 8 "THE" 70 
GG-EXP1 3 SUBJECT-REL 9 "EDITOR" 37 
GG-EXP1 3 SUBJECT-REL 10 "HOPED" 108 
GG-EXP1 3 SUBJECT-REL 11 "FOR" 55 
GG-EXP1 3 SUBJECT-REL 12 "THE" 70 
GG-EXP1 3 SUBJECT-REL 13 "STORY" 44 
GG-EXP1 3 OBJECT-REL 1 "THE" 35 
GG-EXP1 3 OBJECT-REL 2 "REPORTER" 42 
GG-EXP1 3 OBJECT-REL 3 "WHO" 10 
GG-EXP1 3 OBJECT-REL 4 "THE" 127 
GG-EXP1 3 OBJECT-REL 5 "PHOTOGRAPHER" 49 
GG-EXP1 3 OBJECT-REL 6 "SENT" 146 
GG-EXP1 3 OBJECT-REL 7 "TO" 70 
GG-EXP1 3 OBJECT-REL 8 "THE" 70 
GG-EXP1 3 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 3 OBJECT-REL 10 "HOPED" 92 
GG-EXP1 3 OBJECT-REL 11 "FOR" 70 
GG-EXP1 3 OBJECT-REL 12 "THE" 70 
GG-EXP1 3 OBJECT-REL 13 "STORY" 70 
GG-EXP1 4 SUBJECT-REL 1 "THE" 37 
