experiment simulation item wn word enctime ecc freq1
GG-EXP1 1 SUBJECT-REL 1 "the" 17 1.4162971603960415D0 0.0037 
GG-EXP1 1 SUBJECT-REL 2 "reporter" 34 3.4959822265396623D0 0.0037 
GG-EXP1 1 SUBJECT-REL 3 "who" 24 2.8301355577660385D0 0.0037 
GG-EXP1 1 SUBJECT-REL 4 "sent" 26 1.6083887780009498D0 0.0037 
GG-EXP1 1 SUBJECT-REL 5 "the" 24 1.8968738461792134D0 0.0037 
GG-EXP1 1 SUBJECT-REL 6 "photographer" 51 4.541468085539062D0 0.0037 
GG-EXP1 1 SUBJECT-REL 7 "to" 32 3.5683027271744474D0 0.0037 
GG-EXP1 1 SUBJECT-REL 8 "the" 94 5.337142852716858D0 0.0037 
GG-EXP1 1 SUBJECT-REL 9 "editor" 17 1.3792093502123897D0 0.0037 
GG-EXP1 1 SUBJECT-REL 10 "hoped" 39 3.938040134992013D0 0.0037 
GG-EXP1 1 SUBJECT-REL 11 "for" 67 5.052156980971111D0 0.0037 
GG-EXP1 1 SUBJECT-REL 8 "the" 14 0.5691881655148089D0 0.0037 
GG-EXP1 1 SUBJECT-REL 11 "for" 99 5.284512920484483D0 0.0037 
GG-EXP1 1 SUBJECT-REL 12 "the" 26 1.695345007037574D0 0.0037 
GG-EXP1 1 SUBJECT-REL 13 "story" 77 4.293663975488225D0 0.0037 
GG-EXP1 1 SUBJECT-REL 14 "*" 16 0.7909989908966892D0 0.0037 
GG-EXP1 1 OBJECT-REL 1 "the" 24 1.3285078989384682D0 0.0037 
GG-EXP1 1 OBJECT-REL 2 "reporter" 60 3.8379808850566453D0 0.0037 
GG-EXP1 1 OBJECT-REL 3 "who" 39 2.4730571802079226D0 0.0037 
GG-EXP1 1 OBJECT-REL 4 "the" 18 1.3637780714646366D0 0.0037 
GG-EXP1 1 OBJECT-REL 3 "who" 12 0.306092360929811D0 0.0037 
GG-EXP1 1 OBJECT-REL 4 "the" 19 1.4167253738622616D0 0.0037 
GG-EXP1 1 OBJECT-REL 5 "photographer" 85 4.650741787048697D0 0.0037 
GG-EXP1 1 OBJECT-REL 3 "who" 14 0.33037142094279814D0 0.0037 
GG-EXP1 1 OBJECT-REL 4 "the" 13 1.4415600972593585D0 0.0037 
GG-EXP1 1 OBJECT-REL 5 "photographer" 33 3.38552205784363D0 0.0037 
GG-EXP1 1 OBJECT-REL 6 "sent" 97 5.782855214700015D0 0.0037 
GG-EXP1 1 OBJECT-REL 7 "to" 27 2.1123177242431237D0 0.0037 
GG-EXP1 1 OBJECT-REL 8 "the" 48 3.3093012314208208D0 0.0037 
GG-EXP1 1 OBJECT-REL 9 "editor" 94 5.19660845721184D0 0.0037 
GG-EXP1 1 OBJECT-REL 10 "hoped" 41 2.9397277555251455D0 0.0037 
GG-EXP1 1 OBJECT-REL 11 "for" 95 4.691900460021017D0 0.0037 
GG-EXP1 1 OBJECT-REL 12 "the" 25 1.5510982111168508D0 0.0037 
GG-EXP1 1 OBJECT-REL 13 "story" 23 2.1095221586011395D0 0.0037 
GG-EXP1 1 OBJECT-REL 11 "for" 13 1.361044329060813D0 0.0037 
GG-EXP1 2 SUBJECT-REL 1 "the" 18 1.4443370976793328D0 0.0037 
GG-EXP1 2 SUBJECT-REL 2 "reporter" 55 3.9714582379698986D0 0.0037 
GG-EXP1 2 SUBJECT-REL 3 "who" 22 2.123064389155671D0 0.0037 
GG-EXP1 2 SUBJECT-REL 4 "sent" 54 3.721394419107164D0 0.0037 
GG-EXP1 2 SUBJECT-REL 2 "reporter" 13 0.40237442653715993D0 0.0037 
GG-EXP1 2 SUBJECT-REL 4 "sent" 56 3.9387920368086777D0 0.0037 
GG-EXP1 2 SUBJECT-REL 5 "the" 111 5.538516194763487D0 0.0037 
GG-EXP1 2 SUBJECT-REL 6 "photographer" 29 2.9225024910086868D0 0.0037 
GG-EXP1 2 SUBJECT-REL 7 "to" 77 5.394340125127581D0 0.0037 
GG-EXP1 2 SUBJECT-REL 8 "the" 27 2.153340994294355D0 0.0037 
GG-EXP1 2 SUBJECT-REL 9 "editor" 48 3.633510387609901D0 0.0037 
GG-EXP1 2 SUBJECT-REL 10 "hoped" 346 8.03471956907702D0 0.0037 
GG-EXP1 2 SUBJECT-REL 10 "hoped" 18 1.8269234713135227D0 0.0037 
GG-EXP1 2 SUBJECT-REL 11 "for" 13 1.3005761233384825D0 0.0037 
GG-EXP1 2 SUBJECT-REL 12 "the" 21 1.6835870379602065D0 0.0037 
GG-EXP1 2 SUBJECT-REL 13 "story" 83 4.308889337820219D0 0.0037 
GG-EXP1 2 SUBJECT-REL 14 "*" 19 1.2522429247225053D0 0.0037 
GG-EXP1 2 OBJECT-REL 1 "the" 17 1.500661796500073D0 0.0037 
GG-EXP1 2 OBJECT-REL 2 "reporter" 21 2.2145625495190506D0 0.0037 
GG-EXP1 2 OBJECT-REL 3 "who" 68 4.216607481747471D0 0.0037 
GG-EXP1 2 OBJECT-REL 4 "the" 35 2.14916289971334D0 0.0037 
GG-EXP1 2 OBJECT-REL 5 "photographer" 69 5.19713120648025D0 0.0037 
GG-EXP1 2 OBJECT-REL 2 "reporter" 19 1.9019530395014719D0 0.0037 
GG-EXP1 2 OBJECT-REL 3 "who" 23 2.2922746020498126D0 0.0037 
GG-EXP1 2 OBJECT-REL 4 "the" 64 4.198795350127226D0 0.0037 
GG-EXP1 2 OBJECT-REL 5 "photographer" 25 2.4412190522552595D0 0.0037 
GG-EXP1 2 OBJECT-REL 6 "sent" 82 4.879878357684974D0 0.0037 
GG-EXP1 2 OBJECT-REL 7 "to" 16 0.3917854671912464D0 0.0037 
GG-EXP1 2 OBJECT-REL 6 "sent" 12 1.0553533515304723D0 0.0037 
GG-EXP1 2 OBJECT-REL 7 "to" 15 0.45088659649733037D0 0.0037 
GG-EXP1 2 OBJECT-REL 8 "the" 20 1.6566426970157295D0 0.0037 
GG-EXP1 2 OBJECT-REL 9 "editor" 56 3.769645184739718D0 0.0037 
GG-EXP1 2 OBJECT-REL 10 "hoped" 39 2.424790635679844D0 0.0037 
GG-EXP1 2 OBJECT-REL 11 "for" 17 1.9958948879642617D0 0.0037 
GG-EXP1 2 OBJECT-REL 12 "the" 51 3.662347168724398D0 0.0037 
GG-EXP1 2 OBJECT-REL 13 "story" 28 1.6597620985346269D0 0.0037 
GG-EXP1 2 OBJECT-REL 14 "*" 50 3.2585146226043125D0 0.0037 
GG-EXP1 3 SUBJECT-REL 1 "the" 24 1.4655549189490167D0 0.0037 
GG-EXP1 3 SUBJECT-REL 2 "reporter" 60 4.261257691707321D0 0.0037 
GG-EXP1 3 SUBJECT-REL 3 "who" 31 2.1222583685038074D0 0.0037 
GG-EXP1 3 SUBJECT-REL 4 "sent" 23 2.035242834176295D0 0.0037 
GG-EXP1 3 SUBJECT-REL 5 "the" 17 1.0892450280135717D0 0.0037 
GG-EXP1 3 SUBJECT-REL 6 "photographer" 46 4.102202334854569D0 0.0037 
GG-EXP1 3 SUBJECT-REL 7 "to" 38 3.177660348812286D0 0.0037 
GG-EXP1 3 SUBJECT-REL 8 "the" 17 1.5527668382364033D0 0.0037 
GG-EXP1 3 SUBJECT-REL 9 "editor" 49 4.110374864486987D0 0.0037 
GG-EXP1 3 SUBJECT-REL 10 "hoped" 86 5.615626874945433D0 0.0037 
GG-EXP1 3 SUBJECT-REL 11 "for" 25 2.209024637421684D0 0.0037 
GG-EXP1 3 SUBJECT-REL 12 "the" 43 3.5146380376551805D0 0.0037 
GG-EXP1 3 SUBJECT-REL 13 "story" 65 5.402028699215382D0 0.0037 
GG-EXP1 3 SUBJECT-REL 14 "*" 324 8.512273700733445D0 0.0037 
GG-EXP1 3 SUBJECT-REL 14 "*" 20 1.517424353795506D0 0.0037 
GG-EXP1 3 OBJECT-REL 1 "the" 25 1.4136436032663988D0 0.0037 
GG-EXP1 3 OBJECT-REL 2 "reporter" 64 4.208576751498368D0 0.0037 
GG-EXP1 3 OBJECT-REL 3 "who" 32 2.038685918725741D0 0.0037 
GG-EXP1 3 OBJECT-REL 4 "the" 22 1.3173376927274372D0 0.0037 
GG-EXP1 3 OBJECT-REL 2 "reporter" 27 2.1436988783919078D0 0.0037 
GG-EXP1 3 OBJECT-REL 4 "the" 26 1.6566717390461836D0 0.0037 
GG-EXP1 3 OBJECT-REL 5 "photographer" 89 4.856533555869581D0 0.0037 
GG-EXP1 3 OBJECT-REL 2 "reporter" 27 2.078017624642764D0 0.0037 
GG-EXP1 3 OBJECT-REL 3 "who" 19 1.8581091252481696D0 0.0037 
GG-EXP1 3 OBJECT-REL 4 "the" 20 1.8723043915765805D0 0.0037 
GG-EXP1 3 OBJECT-REL 5 "photographer" 33 3.686637702397339D0 0.0037 
GG-EXP1 3 OBJECT-REL 6 "sent" 147 6.435592182182804D0 0.0037 
GG-EXP1 3 OBJECT-REL 7 "to" 26 2.5548046855769004D0 0.0037 
GG-EXP1 3 OBJECT-REL 8 "the" 42 3.514057999087553D0 0.0037 
GG-EXP1 3 OBJECT-REL 9 "editor" 105 5.020739139038065D0 0.0037 
GG-EXP1 3 OBJECT-REL 10 "hoped" 30 2.5071369109317687D0 0.0037 
