experiment simulation item wn word fixdur
GG-EXP1 1 SUBJECT-REL 1 "the" 522 
GG-EXP1 1 SUBJECT-REL 2 "reporter" 161 
GG-EXP1 1 SUBJECT-REL 3 "who" 183 
GG-EXP1 1 SUBJECT-REL 4 "sent" 280 
GG-EXP1 1 SUBJECT-REL 6 "photographer" 243 
GG-EXP1 1 SUBJECT-REL 8 "the" 529 
GG-EXP1 1 SUBJECT-REL 11 "for" 281 
GG-EXP1 1 SUBJECT-REL 13 "story" 223 
GG-EXP1 1 OBJECT-REL 1 "the" 551 
GG-EXP1 1 OBJECT-REL 2 "reporter" 208 
GG-EXP1 1 OBJECT-REL 3 "who" 332 
GG-EXP1 1 OBJECT-REL 3 "who" 201 
GG-EXP1 1 OBJECT-REL 4 "the" 264 
GG-EXP1 1 OBJECT-REL 6 "sent" 471 
GG-EXP1 1 OBJECT-REL 9 "editor" 279 
GG-EXP1 1 OBJECT-REL 11 "for" 189 
GG-EXP1 1 OBJECT-REL 12 "the" 255 
GG-EXP1 2 SUBJECT-REL 1 "the" 490 
GG-EXP1 2 SUBJECT-REL 2 "reporter" 568 
GG-EXP1 2 SUBJECT-REL 5 "the" 269 
GG-EXP1 2 SUBJECT-REL 6 "photographer" 453 
GG-EXP1 2 SUBJECT-REL 11 "for" 422 
GG-EXP1 2 SUBJECT-REL 13 "story" 138 
GG-EXP1 2 OBJECT-REL 1 "the" 416 
GG-EXP1 2 OBJECT-REL 1 "the" 298 
GG-EXP1 2 OBJECT-REL 2 "reporter" 352 
GG-EXP1 2 OBJECT-REL 2 "reporter" 316 
GG-EXP1 2 OBJECT-REL 4 "the" 157 
GG-EXP1 2 OBJECT-REL 5 "photographer" 175 
GG-EXP1 2 OBJECT-REL 7 "to" 396 
GG-EXP1 2 OBJECT-REL 9 "editor" 166 
GG-EXP1 2 OBJECT-REL 10 "hoped" 281 
GG-EXP1 2 OBJECT-REL 12 "the" 289 
GG-EXP1 3 SUBJECT-REL 1 "the" 582 
GG-EXP1 3 SUBJECT-REL 2 "reporter" 189 
GG-EXP1 3 SUBJECT-REL 3 "who" 228 
GG-EXP1 3 SUBJECT-REL 4 "sent" 244 
GG-EXP1 3 SUBJECT-REL 6 "photographer" 178 
GG-EXP1 3 SUBJECT-REL 7 "to" 340 
GG-EXP1 3 SUBJECT-REL 10 "hoped" 653 
GG-EXP1 3 SUBJECT-REL 14 "*stop*" 171 
GG-EXP1 3 OBJECT-REL 1 "the" 550 
GG-EXP1 3 OBJECT-REL 2 "reporter" 167 
GG-EXP1 3 OBJECT-REL 3 "who" 351 
GG-EXP1 3 OBJECT-REL 2 "reporter" 172 
GG-EXP1 3 OBJECT-REL 3 "who" 171 
GG-EXP1 3 OBJECT-REL 4 "the" 346 
GG-EXP1 3 OBJECT-REL 6 "sent" 465 
GG-EXP1 3 OBJECT-REL 9 "editor" 291 
GG-EXP1 3 OBJECT-REL 11 "for" 357 
GG-EXP1 4 SUBJECT-REL 1 "the" 494 
GG-EXP1 4 SUBJECT-REL 2 "reporter" 405 
GG-EXP1 4 SUBJECT-REL 4 "sent" 141 
GG-EXP1 4 SUBJECT-REL 5 "the" 312 
GG-EXP1 4 SUBJECT-REL 8 "the" 144 
GG-EXP1 4 SUBJECT-REL 7 "to" 163 
GG-EXP1 4 SUBJECT-REL 8 "the" 149 
GG-EXP1 4 SUBJECT-REL 9 "editor" 156 
GG-EXP1 4 SUBJECT-REL 10 "hoped" 290 
GG-EXP1 4 SUBJECT-REL 12 "the" 218 
GG-EXP1 4 OBJECT-REL 1 "the" 681 
GG-EXP1 4 OBJECT-REL 3 "who" 385 
GG-EXP1 4 OBJECT-REL 2 "reporter" 149 
GG-EXP1 4 OBJECT-REL 3 "who" 288 
GG-EXP1 4 OBJECT-REL 5 "photographer" 238 
GG-EXP1 4 OBJECT-REL 6 "sent" 391 
GG-EXP1 4 OBJECT-REL 9 "editor" 181 
GG-EXP1 4 OBJECT-REL 10 "hoped" 393 
GG-EXP1 4 OBJECT-REL 13 "story" 197 
GG-EXP1 5 SUBJECT-REL 1 "the" 498 
GG-EXP1 5 SUBJECT-REL 2 "reporter" 200 
GG-EXP1 5 SUBJECT-REL 3 "who" 283 
GG-EXP1 5 SUBJECT-REL 5 "the" 187 
GG-EXP1 5 SUBJECT-REL 6 "photographer" 322 
GG-EXP1 5 SUBJECT-REL 8 "the" 314 
GG-EXP1 5 SUBJECT-REL 10 "hoped" 171 
GG-EXP1 5 SUBJECT-REL 11 "for" 259 
GG-EXP1 5 SUBJECT-REL 13 "story" 184 
GG-EXP1 5 OBJECT-REL 1 "the" 642 
GG-EXP1 5 OBJECT-REL 3 "who" 382 
GG-EXP1 5 OBJECT-REL 3 "who" 195 
GG-EXP1 5 OBJECT-REL 4 "the" 155 
GG-EXP1 5 OBJECT-REL 5 "photographer" 337 
GG-EXP1 5 OBJECT-REL 7 "to" 261 
GG-EXP1 5 OBJECT-REL 9 "editor" 169 
GG-EXP1 5 OBJECT-REL 10 "hoped" 401 
GG-EXP1 5 OBJECT-REL 13 "story" 241 
GG-EXP1 6 SUBJECT-REL 1 "the" 546 
GG-EXP1 6 SUBJECT-REL 2 "reporter" 416 
GG-EXP1 6 SUBJECT-REL 4 "sent" 276 
GG-EXP1 6 SUBJECT-REL 6 "photographer" 380 
GG-EXP1 6 SUBJECT-REL 9 "editor" 170 
GG-EXP1 6 OBJECT-REL 1 "the" 498 
GG-EXP1 6 OBJECT-REL 2 "reporter" 224 
GG-EXP1 6 OBJECT-REL 3 "who" 335 
GG-EXP1 6 OBJECT-REL 2 "reporter" 162 
GG-EXP1 6 OBJECT-REL 3 "who" 264 
GG-EXP1 6 OBJECT-REL 5 "photographer" 491 
GG-EXP1 6 OBJECT-REL 7 "to" 222 
GG-EXP1 6 OBJECT-REL 9 "editor" 185 
GG-EXP1 6 OBJECT-REL 10 "hoped" 371 
GG-EXP1 6 OBJECT-REL 13 "story" 188 
GG-EXP1 7 SUBJECT-REL 1 "the" 529 
GG-EXP1 7 SUBJECT-REL 2 "reporter" 371 
GG-EXP1 7 SUBJECT-REL 4 "sent" 280 
GG-EXP1 7 SUBJECT-REL 6 "photographer" 199 
GG-EXP1 7 SUBJECT-REL 7 "to" 398 
GG-EXP1 7 SUBJECT-REL 10 "hoped" 387 
GG-EXP1 7 SUBJECT-REL 13 "story" 220 
GG-EXP1 7 OBJECT-REL 1 "the" 525 
GG-EXP1 7 OBJECT-REL 2 "reporter" 198 
GG-EXP1 7 OBJECT-REL 3 "who" 345 
GG-EXP1 7 OBJECT-REL 3 "who" 154 
GG-EXP1 7 OBJECT-REL 4 "the" 321 
GG-EXP1 7 OBJECT-REL 6 "sent" 290 
GG-EXP1 7 OBJECT-REL 8 "the" 280 
GG-EXP1 7 OBJECT-REL 10 "hoped" 565 
GG-EXP1 8 SUBJECT-REL 1 "the" 421 
GG-EXP1 8 SUBJECT-REL 1 "the" 316 
GG-EXP1 8 SUBJECT-REL 3 "who" 328 
GG-EXP1 8 SUBJECT-REL 5 "the" 179 
GG-EXP1 8 SUBJECT-REL 6 "photographer" 419 
GG-EXP1 8 SUBJECT-REL 9 "editor" 547 
GG-EXP1 8 SUBJECT-REL 12 "the" 188 
GG-EXP1 8 SUBJECT-REL 13 "story" 206 
GG-EXP1 8 OBJECT-REL 1 "the" 532 
GG-EXP1 8 OBJECT-REL 2 "reporter" 173 
GG-EXP1 8 OBJECT-REL 3 "who" 335 
GG-EXP1 8 OBJECT-REL 3 "who" 202 
GG-EXP1 8 OBJECT-REL 4 "the" 196 
GG-EXP1 8 OBJECT-REL 5 "photographer" 527 
GG-EXP1 8 OBJECT-REL 8 "the" 357 
GG-EXP1 8 OBJECT-REL 10 "hoped" 157 
GG-EXP1 8 OBJECT-REL 11 "for" 382 
GG-EXP1 9 SUBJECT-REL 1 "the" 563 
GG-EXP1 9 SUBJECT-REL 2 "reporter" 217 
GG-EXP1 9 SUBJECT-REL 3 "who" 399 
GG-EXP1 9 SUBJECT-REL 6 "photographer" 240 
GG-EXP1 9 SUBJECT-REL 7 "to" 406 
GG-EXP1 9 SUBJECT-REL 10 "hoped" 289 
GG-EXP1 9 SUBJECT-REL 12 "the" 150 
GG-EXP1 9 SUBJECT-REL 13 "story" 184 
GG-EXP1 9 OBJECT-REL 1 "the" 420 
GG-EXP1 9 OBJECT-REL 1 "the" 320 
GG-EXP1 9 OBJECT-REL 3 "who" 340 
GG-EXP1 9 OBJECT-REL 3 "who" 382 
GG-EXP1 9 OBJECT-REL 5 "photographer" 139 
GG-EXP1 9 OBJECT-REL 6 "sent" 488 
GG-EXP1 9 OBJECT-REL 9 "editor" 322 
GG-EXP1 9 OBJECT-REL 11 "for" 432 
GG-EXP1 10 SUBJECT-REL 1 "the" 394 
GG-EXP1 10 SUBJECT-REL 1 "the" 199 
GG-EXP1 10 SUBJECT-REL 2 "reporter" 199 
GG-EXP1 10 SUBJECT-REL 3 "who" 211 
GG-EXP1 10 SUBJECT-REL 4 "sent" 251 
GG-EXP1 10 SUBJECT-REL 6 "photographer" 266 
GG-EXP1 10 SUBJECT-REL 8 "the" 125 
